Position	Time		RR		BPM
148791		148714		0.850		70.000
148957		148880		0.830		72.000
149113		149036		0.780		76.000
149269		149192		0.780		76.000
149426		149349		0.785		76.000
149581		149504		0.775		77.000
149738		149661		0.785		76.000
149896		149819		0.790		75.000
150058		149981		0.810		74.000
150223		150146		0.825		72.000
150385		150308		0.810		74.000
150536		150459		0.755		79.000
150688		150611		0.760		78.000
150841		150764		0.765		78.000
151000		150923		0.795		75.000
151164		151087		0.820		73.000
151326		151249		0.810		74.000
151487		151410		0.805		74.000
151657		151580		0.850		70.000
151815		151738		0.790		75.000
151965		151888		0.750		80.000
152121		152044		0.780		76.000
152284		152207		0.815		73.000
152449		152372		0.825		72.000
152613		152536		0.820		73.000
152776		152699		0.815		73.000
152930		152853		0.770		77.000
153082		153005		0.760		78.000
153231		153154		0.745		80.000
153384		153307		0.765		78.000
153544		153467		0.800		75.000
153700		153623		0.780		76.000
153860		153783		0.800		75.000
154025		153948		0.825		72.000
154184		154107		0.795		75.000
154329		154252		0.725		82.000
154482		154405		0.765		78.000
154641		154564		0.795		75.000
154812		154735		0.855		70.000
154977		154900		0.825		72.000
155135		155058		0.790		75.000
155292		155215		0.785		76.000
155400		155323		0.540		111.000
155590		155513		0.950		63.000
155752		155675		0.810		74.000
155919		155842		0.835		71.000
156088		156011		0.845		71.000
156252		156175		0.820		73.000
156414		156337		0.810		74.000
156570		156493		0.780		76.000
156721		156644		0.755		79.000
156876		156799		0.775		77.000
157032		156955		0.780		76.000
157192		157115		0.800		75.000
157355		157278		0.815		73.000
157519		157442		0.820		73.000
157675		157598		0.780		76.000
157826		157749		0.755		79.000
157978		157901		0.760		78.000
158131		158054		0.765		78.000
